# init omega gamma A f
1.111605836e+00 9.143820078e-01 3.246195312e-01 8.729933242e-01 2.182021691e+00
1.993082719e-01 1.330229966e+00 1.447792979e-01 7.810977706e-01 2.284195255e+00
9.390102779e-01 1.212123202e+00 2.407633278e-01 3.956849400e-01 2.232160851e+00
1.224163538e+00 1.241137946e+00 1.264543973e-01 8.757867065e-01 2.534201678e+00
1.245028553e+00 1.487892209e+00 1.663619121e-01 5.927998857e-01 2.458688774e+00
2.761418766e-02 1.012099303e+00 1.800047371e-01 4.591129316e-01 2.729368941e+00
1.440173424e+00 1.023040633e+00 3.848597625e-01 8.504527129e-01 2.149009910e+00
8.867474223e-01 8.139147625e-01 2.592708165e-01 9.045932559e-01 2.179493656e+00
8.802568406e-01 1.032153741e+00 2.657277485e-01 1.247785808e-01 2.933807166e+00
7.867246148e-01 1.116281529e+00 2.427863494e-02 8.427549395e-01 2.610602051e+00
7.404781418e-01 8.622789328e-01 2.709356129e-01 9.890420562e-01 2.684385124e+00
1.021159394e+00 1.502612899e+00 3.660396375e-01 3.399046900e-01 2.687213022e+00
1.228285984e+00 8.996439757e-01 3.942202804e-01 3.073564402e-01 2.247635773e+00
8.265986207e-01 8.097904689e-01 3.048253109e-01 8.615506878e-01 2.920844182e+00
8.315562091e-01 8.651543662e-01 3.064044116e-01 5.288447903e-01 1.631759244e+00
7.173900440e-01 1.424717413e+00 2.281190609e-02 7.943984518e-01 1.709137822e+00
1.371712631e+00 1.258502245e+00 1.107208761e-01 7.525029476e-01 1.989141327e+00
6.086945448e-01 1.111010984e+00 2.882020192e-01 6.959571050e-01 1.933144153e+00
2.148519216e-01 1.451157450e+00 3.864010430e-01 1.350500136e-01 2.522748467e+00
7.560888587e-01 1.354952180e+00 2.823139920e-01 7.322118935e-01 2.515053795e+00
1.331208803e+00 9.479758757e-01 2.071296211e-01 3.800902174e-01 2.466308213e+00
1.966883867e-01 8.756158905e-01 1.456412270e-02 6.160233049e-01 2.650941118e+00
1.087834169e+00 1.505832377e+00 5.916838879e-03 7.014759066e-01 2.410640042e+00
1.304390244e+00 1.413413260e+00 9.192441846e-02 3.912909370e-01 2.188358115e+00
5.191288823e-01 1.272313971e+00 1.828340382e-01 9.622724562e-01 2.574190248e+00
1.141080624e-02 1.077011532e+00 2.443015739e-01 1.056783824e-01 2.582010390e+00
3.334324023e-02 1.408926461e+00 1.596745471e-01 9.987110678e-01 2.103878159e+00
4.177164279e-01 1.566516378e+00 3.214292797e-01 4.154583539e-01 2.452147778e+00
4.419776345e-01 9.886163915e-01 3.117493896e-01 5.268661689e-01 1.584645067e+00
1.063857049e+00 1.142337279e+00 2.529996437e-01 8.962133458e-01 1.814510432e+00
1.525406452e-01 9.201841444e-01 2.002397045e-01 5.477093801e-01 2.154048051e+00
9.839246128e-02 8.717966632e-01 2.152184138e-01 4.128184986e-01 3.093594522e+00
1.270509170e+00 1.447043383e+00 3.634853612e-01 8.879587462e-01 2.745591996e+00
1.722670418e-01 8.483151428e-01 3.520017631e-01 6.051792789e-01 3.033127305e+00
3.011835744e-01 1.067942988e+00 3.972058800e-01 9.193947636e-01 2.559699973e+00
7.454406188e-01 8.567627336e-01 1.025466152e-01 6.262069335e-01 2.394754407e+00
1.449953488e+00 1.033082385e+00 3.355819248e-01 8.762313828e-01 1.958328777e+00
1.209277589e+00 1.160417894e+00 2.148131439e-01 9.751426059e-01 1.667168050e+00
8.527498472e-01 9.137492978e-01 6.013013126e-03 4.710893918e-01 1.689796673e+00
5.866171927e-01 1.246733998e+00 3.908216882e-01 9.349213109e-01 1.762630640e+00
5.700291948e-01 1.518123887e+00 1.857559759e-01 4.549683049e-01 2.817360147e+00
2.462888789e-01 1.325832262e+00 2.934420758e-01 2.552256419e-01 2.737887591e+00
1.399502966e+00 8.627024412e-01 2.041105836e-01 6.272177170e-01 2.000655750e+00
3.943338770e-01 1.565834542e+00 2.119629103e-01 3.170886912e-01 2.331902836e+00
8.673059919e-01 1.245283239e+00 3.118711081e-01 1.859007699e-01 2.999077213e+00
7.747331021e-01 1.258659623e+00 3.035724583e-01 7.498876348e-01 2.967527277e+00
2.374959337e-01 8.701617255e-01 2.733004805e-01 6.734600153e-01 2.514636341e+00
5.725276711e-01 1.321267700e+00 1.940842579e-01 7.920837266e-01 2.231582364e+00
4.358067998e-03 9.992315544e-01 3.014628977e-01 2.883861977e-01 1.650346292e+00
1.326331333e+00 1.095722939e+00 5.204303553e-02 8.847510739e-01 2.343064780e+00
9.717117780e-04 8.900634713e-01 4.546151812e-02 1.215947345e-01 2.300642260e+00
1.258821621e+00 1.304710011e+00 1.226443410e-01 2.002929973e-01 2.466481526e+00
6.580988850e-01 1.122417972e+00 2.701521574e-01 3.793918872e-01 2.818874672e+00
2.028542840e-01 9.739990864e-01 6.492690982e-02 2.756947431e-01 2.790291135e+00
1.315246102e+00 8.716200081e-01 3.973502379e-01 7.982147816e-01 3.102036887e+00
1.496065962e+00 9.175246289e-01 3.603128115e-02 7.137873193e-01 1.967751161e+00
3.434648416e-01 8.478649806e-01 3.806653496e-01 1.372528219e-01 1.778331624e+00
1.326787773e+00 1.186146954e+00 2.014349377e-01 4.634303161e-01 2.689696797e+00
1.287168899e+00 8.909904236e-01 5.913029769e-02 9.096679987e-01 2.653430386e+00
1.558324747e+00 1.303940291e+00 2.145019549e-01 5.782220474e-01 1.889154055e+00
1.014355653e+00 8.178194233e-01 1.885672960e-01 8.459324892e-01 1.681757250e+00
1.207356599e+00 9.529409417e-01 3.969866437e-01 4.013955544e-01 2.307221464e+00
4.778732521e-01 8.267602451e-01 1.844816279e-01 6.443602676e-01 2.995634691e+00
1.345622911e+00 1.426114069e+00 6.556575343e-02 3.491306538e-01 1.899574996e+00
3.774043230e-01 1.266469479e+00 3.170569218e-01 9.159507448e-01 3.122595366e+00
9.211082929e-01 8.447474549e-01 2.497790248e-01 1.537494258e-01 3.139818171e+00
2.279821312e-01 1.207006887e+00 3.886771742e-01 5.049271322e-01 2.653787045e+00
8.891863597e-01 1.190519723e+00 3.460237917e-02 6.903383777e-01 3.118772399e+00
1.391348733e+00 7.980179615e-01 7.464958512e-03 7.894884918e-01 1.690679045e+00
8.510992521e-01 1.138718375e+00 3.379678316e-01 3.144231222e-01 3.042772291e+00
