# init omega gamma A f
1.111605836e+00 1.325125488e+00 3.917109425e-01 7.364110714e-01 2.169898690e+00
1.993082719e-01 1.537514524e+00 3.329670606e-03 5.983179621e-01 1.614864445e+00
9.390102779e-01 1.025139717e+00 6.434079926e-02 9.371131336e-01 2.818388502e+00
1.224163538e+00 9.994474801e-01 1.286830008e-02 2.423370321e-01 2.905428332e+00
1.245028553e+00 9.404544587e-01 1.287704917e-01 3.544398389e-01 1.621574320e+00
2.761418766e-02 8.132532378e-01 3.409421851e-02 8.929736410e-01 3.048931924e+00
1.440173424e+00 1.065449366e+00 3.273372026e-01 4.753979445e-01 2.878806433e+00
8.867474223e-01 1.305289086e+00 3.337322479e-01 2.531227543e-01 1.734862098e+00
8.802568406e-01 9.190567616e-01 2.388106542e-01 3.489183722e-01 1.794601719e+00
7.867246148e-01 1.092156452e+00 3.204278384e-03 6.849208813e-01 3.081847933e+00
7.404781418e-01 1.464240448e+00 3.184985028e-02 9.963196513e-01 2.590614475e+00
1.021159394e+00 1.154510538e+00 4.457996927e-02 1.848311494e-01 2.897450978e+00
1.228285984e+00 8.615333583e-01 8.380544669e-02 5.551556242e-01 2.753896281e+00
8.265986207e-01 1.555364652e+00 2.515494208e-01 8.422356225e-01 2.834909698e+00
8.315562091e-01 1.486660037e+00 3.600304252e-01 1.798620328e-01 2.648517405e+00
7.173900440e-01 9.037666461e-01 2.421462339e-01 2.902202974e-01 2.887280362e+00
1.371712631e+00 1.510477166e+00 3.875299198e-02 1.316398708e-01 1.899464975e+00
6.086945448e-01 1.101471911e+00 2.179035409e-01 2.646510682e-01 2.718856018e+00
2.148519216e-01 1.496971791e+00 2.528313509e-01 4.093150154e-01 2.951652690e+00
7.560888587e-01 1.069371433e+00 2.404314181e-01 1.803738719e-01 2.519706378e+00
1.331208803e+00 8.118980907e-01 2.721923128e-01 9.149063003e-01 1.602944612e+00
1.966883867e-01 1.384899290e+00 3.431737200e-01 8.317632386e-01 2.892794911e+00
1.087834169e+00 1.198604041e+00 2.849496768e-01 9.623316743e-01 2.628346724e+00
1.304390244e+00 1.492998827e+00 1.769461787e-01 6.356764395e-01 2.940550449e+00
5.191288823e-01 8.870570006e-01 6.457521792e-03 5.473431050e-01 2.517571344e+00
1.141080624e-02 1.342350478e+00 1.501360225e-01 9.542614088e-01 1.800816204e+00
3.334324023e-02 8.971788920e-01 1.749744526e-01 2.620160018e-01 2.717237623e+00
4.177164279e-01 1.465738592e+00 2.042716302e-01 6.680968452e-01 2.807884460e+00
4.419776345e-01 1.211223129e+00 1.832239382e-01 9.353312437e-01 2.846557475e+00
1.063857049e+00 9.497230228e-01 2.295591235e-01 8.229221299e-01 1.709520100e+00
1.525406452e-01 1.276637392e+00 3.996118566e-01 9.537445071e-01 3.070141022e+00
9.839246128e-02 9.995470329e-01 1.753437767e-01 5.174213582e-01 2.647980134e+00
1.270509170e+00 1.474791955e+00 3.993080313e-02 7.509411937e-01 1.573473005e+00
1.722670418e-01 1.008132707e+00 4.132946206e-02 5.790875099e-01 2.894420170e+00
3.011835744e-01 8.203800325e-01 2.327840003e-01 3.462152564e-01 1.779898732e+00
7.454406188e-01 8.930595407e-01 2.255796069e-01 5.005912614e-01 2.956410626e+00
1.449953488e+00 1.568351012e+00 3.070886745e-01 4.091010382e-01 2.218168460e+00
1.209277589e+00 8.134459935e-01 1.830820041e-01 7.417887411e-01 2.019085782e+00
8.527498472e-01 9.546619113e-01 2.572452998e-01 5.179933911e-01 3.038273285e+00
5.866171927e-01 1.479342239e+00 3.366859333e-01 3.325844592e-01 1.732377845e+00
5.700291948e-01 9.693465412e-01 1.807372588e-01 4.191284623e-01 1.827313948e+00
2.462888789e-01 9.763472169e-01 1.321836751e-01 4.277668218e-01 1.821603355e+00
1.399502966e+00 1.387295395e+00 3.800733233e-01 3.347954979e-01 1.809848214e+00
3.943338770e-01 8.244775585e-01 6.581924541e-02 6.356119404e-01 2.711993732e+00
8.673059919e-01 9.941223432e-01 3.631675632e-01 7.647189311e-01 1.925922675e+00
7.747331021e-01 1.080714694e+00 9.658546166e-02 2.478900199e-01 1.993216632e+00
2.374959337e-01 9.192033052e-01 4.018054909e-02 5.023427164e-01 2.618885750e+00
5.725276711e-01 1.225789884e+00 1.288816828e-01 1.460937442e-01 2.947256906e+00
4.358067998e-03 8.956625629e-01 7.106870535e-02 4.778572801e-01 2.379495586e+00
1.326331333e+00 1.364122574e+00 9.903399752e-02 3.974862928e-01 2.132332949e+00
9.717117780e-04 1.083321195e+00 3.060689351e-01 5.451304441e-01 1.607212802e+00
1.258821621e+00 1.324476141e+00 3.383463093e-01 5.161589802e-01 3.083153766e+00
6.580988850e-01 1.000257373e+00 1.749577629e-01 9.941028007e-01 2.088210580e+00
2.028542840e-01 1.502888982e+00 6.733471676e-02 3.386665182e-01 2.361403272e+00
1.315246102e+00 8.256728374e-01 6.782710262e-02 4.914304832e-01 1.633968126e+00
1.496065962e+00 8.214301160e-01 2.977710271e-01 3.910939315e-01 2.893444077e+00
3.434648416e-01 1.047068269e+00 2.985656202e-01 9.895495734e-01 2.282873642e+00
1.326787773e+00 1.250184622e+00 2.608234898e-01 3.005554011e-01 2.841760037e+00
1.287168899e+00 1.012137432e+00 1.364402194e-01 3.041734968e-01 1.738093410e+00
1.558324747e+00 7.980527076e-01 1.461328135e-01 3.558858528e-01 2.227171549e+00
1.014355653e+00 1.238332267e+00 3.487285350e-01 8.799529265e-01 2.592168945e+00
1.207356599e+00 8.121026628e-01 2.406897740e-01 4.016642195e-01 1.902009551e+00
4.778732521e-01 1.390730847e+00 1.420073367e-01 6.405662412e-01 1.795938382e+00
1.345622911e+00 9.744844257e-01 6.815707667e-02 3.439275163e-01 1.692325502e+00
3.774043230e-01 1.544298595e+00 2.009732251e-01 9.562470906e-01 3.063442746e+00
9.211082929e-01 9.235875516e-01 9.029820012e-02 8.214583775e-01 3.080913368e+00
2.279821312e-01 1.397983901e+00 2.151514316e-01 1.522109279e-01 2.301538529e+00
8.891863597e-01 8.058759965e-01 4.595496028e-02 6.695539545e-01 1.993927713e+00
1.391348733e+00 1.162756141e+00 2.927206717e-01 1.777504632e-01 2.667866214e+00
8.510992521e-01 1.276541564e+00 3.751583477e-01 3.846520703e-01 1.844517538e+00
3.289419920e-01 8.128625887e-01 3.604858135e-01 5.869691526e-01 1.738413716e+00
1.509548591e+00 1.104078371e+00 3.402817450e-01 6.222642295e-01 2.598318863e+00
