# init omega gamma A f
1.496837267e+00 2.804884471e+00 6.240912580e-01 3.229857607e+01 4.999907629e+00
-3.761853920e-01 2.189123910e+00 5.876826531e-01 4.628100670e+00 4.434080002e+00
1.328993174e+00 1.921253368e+00 3.267280192e-01 1.477743310e+01 3.351994079e+00
-7.482857891e-01 2.866410468e+00 1.151659016e-01 2.829428127e+01 3.574155157e+00
-5.680352366e-01 8.242963256e-01 6.436521723e-01 3.455201705e+01 3.155773220e+00
-1.199193528e+00 2.999103558e+00 8.233379791e-02 1.893973965e+01 5.636234954e+00
-8.108538392e-01 1.196811861e+00 2.294442177e-01 2.107116578e+01 6.254282190e+00
-5.698034636e-01 9.765262363e-01 7.229037608e-01 4.248558524e-02 4.615100194e+00
1.457208830e+00 1.413230750e+00 7.991157891e-01 1.656872044e+01 5.761086986e+00
-7.421396146e-01 2.403831063e+00 7.724272015e-01 3.019785905e+01 3.363666711e+00
-1.852407768e-01 2.292344996e+00 6.987024682e-01 1.383643707e+01 5.156336516e+00
3.449943416e-01 2.860646030e+00 4.656738912e-01 2.271610064e+01 3.715948534e+00
1.141770871e+00 1.034637847e+00 5.108918477e-01 2.729275753e+01 6.062140090e+00
1.142199086e+00 1.174146105e+00 6.237777908e-01 2.528733802e+01 4.588595312e+00
5.491273239e-01 9.082300709e-01 2.429801651e-01 2.686261565e+01 4.831108176e+00
5.020054526e-01 2.927493771e+00 7.565918176e-01 5.847708478e+00 4.716825890e+00
7.402791727e-01 1.955760331e+00 6.517141698e-01 2.183820880e+01 6.199667213e+00
-8.705535135e-01 1.516654060e+00 4.470810755e-01 3.006095164e+01 5.347102995e+00
-1.029712180e+00 1.177969825e+00 2.863596023e-01 3.084824108e+01 4.942946540e+00
1.163103014e+00 3.076766603e+00 3.407915622e-01 1.973082086e+01 4.353505960e+00
-1.381164615e+00 2.188557024e+00 5.250940174e-01 3.735561064e+01 3.677694695e+00
5.767831745e-01 2.227632835e+00 1.053279685e-01 3.258971374e+00 3.710692541e+00
5.376873801e-01 2.396722308e+00 6.458582862e-01 7.371362517e+00 4.001703135e+00
3.485964607e-01 9.516664702e-01 2.371339242e-01 2.026308494e+01 3.567048733e+00
-1.381168838e+00 2.570262786e+00 1.843326785e-01 1.224724876e+01 6.018520529e+00
1.500195519e+00 1.522398057e+00 6.120433700e-01 3.617026165e+01 3.552886360e+00
-1.916918920e-01 2.272013494e+00 3.276277790e-01 1.544015622e+01 5.983743694e+00
1.023483676e-01 1.062236153e+00 2.842156209e-01 3.540253723e+01 3.345149033e+00
-1.560164617e+00 2.596458829e+00 4.636853943e-02 3.056477979e+01 4.408827063e+00
-7.810212888e-01 3.057762113e+00 4.367481523e-01 2.197721048e+01 3.766469460e+00
1.125659974e+00 1.843615706e+00 1.249761224e-01 1.849986511e+01 5.399379641e+00
-2.345631772e-01 2.268296285e+00 4.534564978e-01 2.985404475e+01 4.281814813e+00
7.404716413e-01 1.156971415e+00 7.190857823e-01 2.691005246e+01 6.091417190e+00
1.325215701e+00 2.745185125e+00 3.925249765e-01 1.343118088e+01 3.457912851e+00
-1.088091103e+00 1.998568474e+00 2.008473197e-01 3.901228339e+01 4.480626491e+00
1.545693981e+00 2.131405674e+00 6.040087490e-02 3.647467949e+01 4.913388888e+00
-9.974782019e-01 1.322408318e+00 4.163042785e-01 7.195355846e+00 5.397531225e+00
1.381954513e+00 1.375867276e+00 3.984333685e-01 2.236839469e+01 3.738943253e+00
-1.297187206e+00 1.089504264e+00 2.506990190e-01 2.625991035e+01 3.233262207e+00
-9.981835467e-02 2.040958397e+00 3.085483370e-01 3.945935073e+01 5.305925847e+00
1.033026088e+00 2.326416934e+00 2.600782218e-01 1.176232747e+01 4.062167607e+00
-6.874958943e-01 2.059824520e+00 1.200105637e-01 3.900118269e+01 3.526413918e+00
1.158947345e+00 2.405069855e+00 1.343001553e-01 2.289016542e+01 5.135734278e+00
1.495948043e+00 2.807024902e+00 3.739830911e-01 2.168641455e+01 5.197305905e+00
1.072980884e+00 2.400909473e+00 2.262495135e-01 3.823960120e+01 5.930355029e+00
-1.605368950e-01 1.986919429e+00 4.047500503e-01 3.062044659e+01 6.091968093e+00
-4.066035305e-01 2.672371734e+00 5.299817025e-01 3.481923518e+01 3.230994724e+00
-5.441796778e-02 7.980997215e-01 7.956824587e-01 2.683943826e+01 4.321579923e+00
-1.280549943e+00 1.492414832e+00 5.548948252e-01 3.683982558e+01 3.346294124e+00
-8.582150501e-01 3.028463485e+00 5.073839176e-02 3.307379464e+00 3.456230400e+00
1.148179834e-01 2.173191399e+00 7.404730622e-01 3.119853435e+01 5.843804003e+00
7.323473847e-01 2.723712342e+00 7.811305460e-01 7.048940896e+00 4.172636186e+00
-1.604201228e-01 1.847912538e+00 3.931182535e-01 3.034761704e+00 4.333164122e+00
-6.107275833e-01 3.067743882e+00 4.956317429e-01 3.667974087e+01 6.270475427e+00
1.404709154e+00 2.808431486e+00 1.648440629e-01 2.479843640e+01 5.752607929e+00
7.882462462e-01 1.223222332e+00 7.425917588e-02 1.850584035e+01 5.500431125e+00
-8.776783600e-02 1.366273025e+00 7.014730831e-01 2.966041970e+01 4.913940802e+00
-1.341537381e-01 1.556842509e+00 1.103687822e-01 3.392797713e+00 5.833353991e+00
7.735007022e-01 2.269472327e+00 3.277792490e-01 3.632003489e+01 6.107630566e+00
1.115955616e+00 1.602453403e+00 2.789394762e-01 3.174408597e+01 5.593690829e+00
-6.484051075e-01 1.610419998e+00 1.654138871e-01 3.295912906e+01 5.389159624e+00
7.326075279e-01 1.091954526e+00 2.971730930e-01 4.614433326e+00 4.677055794e+00
9.697284060e-01 1.410852884e+00 4.149678892e-01 2.455633348e+01 5.405235829e+00
1.215453099e+00 1.138633486e+00 6.059436210e-01 3.596705315e+01 3.804794261e+00
-1.492023717e+00 1.771010991e+00 6.312149958e-01 7.713284209e+00 3.228524022e+00
3.940526575e-02 2.190602179e+00 6.322586706e-01 8.983637336e+00 3.394839637e+00
3.541470364e-01 1.834647208e+00 6.729734830e-01 3.898713636e+01 3.349312316e+00
-6.897042919e-01 2.837350085e+00 6.102967146e-01 3.286306609e+01 4.343819893e+00
-1.503063786e-01 3.076586010e+00 5.877059511e-01 2.838471960e+01 3.288920456e+00
9.803421950e-02 2.749746582e+00 3.103577193e-01 1.280157410e+01 5.189471208e+00
1.534312529e+00 1.750980210e+00 3.649893570e-01 2.747998605e+01 3.392176730e+00
-1.551228550e+00 1.622167392e+00 5.001227851e-01 2.291040456e+01 5.598038370e+00
-9.379547833e-01 2.284035367e+00 2.652855845e-01 3.857836501e+01 5.620977568e+00
-7.634099995e-01 2.254310045e+00 4.806505796e-01 2.796813181e+01 5.340792182e+00
-5.000612054e-01 2.268143100e+00 6.245390202e-01 2.146306947e+01 5.028352637e+00
-1.403573838e+00 1.455870650e+00 6.180680073e-01 4.014429267e+00 4.961472678e+00
-5.448072845e-01 1.559973374e+00 4.617817202e-02 1.557733455e+01 5.207611390e+00
-9.471552294e-01 2.722691165e+00 7.161395210e-01 7.509862222e+00 6.088250738e+00
1.033734815e+00 2.398865427e+00 7.222003816e-02 2.568086416e+01 5.330667049e+00
4.305619139e-01 1.235023511e+00 2.771579842e-01 1.451137313e+01 4.844481916e+00
-1.301716090e+00 2.609149862e+00 2.747054575e-01 2.635223592e+01 3.200682810e+00
-8.786962269e-01 2.005046735e+00 6.003812702e-01 1.386268390e+01 4.345137825e+00
5.688926577e-01 2.536917494e+00 5.505218845e-01 3.862641873e+01 5.997480647e+00
-1.147952319e+00 1.841047480e+00 1.132720594e-01 5.076345437e+00 5.667703800e+00
1.433452989e+00 1.275925190e+00 2.263302426e-02 2.260346347e+01 4.400358909e+00
-1.141314711e+00 2.389611199e+00 6.233865086e-03 8.769174564e+00 3.416558902e+00
9.347847164e-01 2.740083533e+00 4.865273550e-01 3.996517626e+01 4.740490335e+00
-5.358339286e-03 2.024388441e+00 7.909735669e-01 3.414226257e+01 3.999880454e+00
-6.132177360e-01 2.870248032e+00 1.295776079e-01 1.868551111e+01 4.586485401e+00
-8.345929961e-01 3.095975591e+00 7.336812027e-01 3.602990667e+01 6.077091553e+00
1.234045642e+00 2.265010941e+00 6.710755616e-01 1.574714740e+01 4.350556467e+00
-3.845353776e-01 2.698886589e+00 2.493950191e-01 3.902991136e+01 4.914834214e+00
-1.330275282e+00 2.835977245e+00 5.585266483e-01 1.762313221e+01 3.966657267e+00
-1.463846477e+00 2.984383347e+00 5.217335681e-01 2.667049322e+01 5.417321120e+00
-1.205341682e-01 1.984316239e+00 4.185261196e-01 2.507488271e+01 5.722201303e+00
1.173807237e+00 2.822887050e+00 3.338717947e-01 2.165496403e+01 6.050531706e+00
-4.690861982e-01 1.516045414e+00 2.839203816e-01 3.746229706e+01 3.621772997e+00
1.015854532e+00 1.107540167e+00 3.743382684e-03 7.940826661e-01 4.172780284e+00
1.404205094e+00 2.834420485e+00 4.585001609e-01 3.536983456e+01 4.985809948e+00
-1.359492171e+00 1.697174247e+00 2.086390900e-02 3.291218980e+01 4.699891930e+00
-6.347821155e-01 1.804962291e+00 3.118500242e-01 3.680618484e+01 3.652743300e+00
3.741655914e-01 1.548485954e+00 1.896698961e-01 1.588381463e+01 4.856739499e+00
-6.224816710e-01 2.915732038e+00 1.524119948e-01 1.289831942e+01 4.572980376e+00
-1.020982143e+00 8.181279712e-01 7.080694819e-01 3.962022570e+01 4.814648078e+00
-1.411368702e-02 1.961303374e+00 6.155054666e-02 3.747293954e+01 5.617132342e+00
8.181910568e-01 1.945598246e+00 4.066290282e-01 1.433954334e+01 4.110415635e+00
5.880013520e-01 3.096577964e+00 4.089965858e-01 5.833551436e+00 4.981940684e+00
-7.907939924e-01 2.918551790e+00 3.454900479e-01 5.093075441e-01 4.526771741e+00
3.832263064e-01 2.562680006e+00 8.966794131e-02 1.308907910e-01 4.966400288e+00
-5.788411310e-01 1.446173303e+00 7.895180808e-01 3.033315258e+01 4.138093396e+00
-6.995404500e-01 2.559177212e+00 2.487243729e-01 1.030053787e+01 4.425162242e+00
1.349776762e+00 1.783278472e+00 7.025279643e-01 2.841555529e+01 3.567411671e+00
-6.920708550e-01 1.447267393e+00 5.602781096e-01 1.175829456e+01 5.367750996e+00
1.409341949e+00 2.195664514e+00 4.304400549e-01 1.744988864e+01 4.452529735e+00
-9.356655169e-01 2.888919123e+00 5.531100964e-01 7.077107635e+00 4.258972099e+00
2.056022220e-01 2.005756038e+00 1.916395458e-01 5.933619981e+00 3.633112953e+00
-3.758481705e-01 2.695794242e+00 4.237458851e-01 6.341739497e+00 6.243192991e+00
9.674551235e-01 2.007294831e+00 7.418259327e-01 2.451704969e+01 3.944331493e+00
-1.169481483e+00 1.346986248e+00 7.968128237e-01 4.709921403e+00 3.218554620e+00
1.417206191e+00 2.675351705e+00 3.694141622e-01 2.241320104e+01 4.275928283e+00
7.185179018e-01 3.026398287e+00 5.850834801e-01 2.618592292e+01 5.847813132e+00
-1.018788707e+00 1.989705527e+00 1.553641279e-01 3.327600818e+01 4.975242471e+00
6.052635538e-01 7.979250660e-01 1.720023427e-01 2.943685416e+01 5.804777635e+00
-1.278504305e+00 2.159718167e+00 2.037850243e-01 1.285082730e+01 5.060980672e+00
1.771009316e-01 7.895248899e-01 6.046113298e-01 6.211498986e+00 5.108151257e+00
-1.248168417e+00 8.591163029e-01 7.984047841e-01 2.399971221e+01 4.333756065e+00
-1.432803222e+00 2.385528105e+00 2.308441695e-01 2.926136555e+01 5.078963802e+00
-3.369518090e-01 1.572415286e+00 6.119628884e-01 1.516512916e+01 4.144243253e+00
5.999097524e-01 1.579707715e+00 5.278539579e-01 4.413654790e+00 3.395949066e+00
7.127091344e-01 2.266513518e+00 5.730346208e-01 3.189675497e+01 5.539324891e+00
5.307592194e-01 9.102093718e-01 7.173523041e-01 1.791948602e+01 5.358344517e+00
