# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 3.3221375e+01 7.9454088e-01 3.2800209e+01 2.4603124e+00 6.8042153e-01 2.3547331e+01 9.2512101e-01 1.0379996e+00
2 1.9711191e+01 1.1932598e+00 2.7524794e+01 2.0049055e+00 1.4456704e+00 1.3777448e+01 1.8853911e+00 1.8789952e+00
3 1.1704169e+01 2.8808944e+00 2.2661591e+01 1.8224053e+00 3.4518247e+00 7.5899372e+00 4.5114384e+00 2.7129939e+00
4 7.0441923e+00 5.8027215e+00 2.4946081e+01 2.0807722e+00 6.3505578e+00 5.1724682e+00 6.2212477e+00 3.5399883e+00
5 4.5985632e+00 6.9441690e+00 2.7721176e+01 2.0075202e+00 6.6105332e+00 3.6753755e+00 7.7343102e+00 4.4029920e+00
6 3.5132468e+00 9.0748568e+00 2.5318340e+01 1.7373695e+00 6.4318986e+00 3.1442995e+00 9.4844418e+00 5.2379885e+00
7 2.7707348e+00 1.0250371e+01 2.2935799e+01 1.7961783e+00 5.2089911e+00 2.4704578e+00 1.0088658e+01 6.0849850e+00
8 2.2671728e+00 1.0756845e+01 2.1040415e+01 1.7061771e+00 4.3149934e+00 2.0476100e+00 1.0406466e+01 6.9449878e+00
9 1.9717207e+00 1.0936819e+01 2.0757576e+01 1.6281246e+00 4.0470195e+00 1.6737657e+00 1.0826118e+01 8.0949936e+00
10 1.6423192e+00 1.1436877e+01 2.0673832e+01 1.6476371e+00 4.1015010e+00 1.6247933e+00 1.1231283e+01 9.1619859e+00
11 1.4900286e+00 1.1528580e+01 2.0276155e+01 1.6443366e+00 4.0709610e+00 1.4222568e+00 1.1221784e+01 1.0661987e+01
12 1.3905540e+00 1.1582653e+01 1.9531725e+01 1.4693295e+00 4.1134348e+00 1.3726277e+00 1.1276643e+01 1.1789985e+01
13 1.2955933e+00 1.1915437e+01 1.8968910e+01 1.5478908e+00 4.0463948e+00 1.3244897e+00 1.1605238e+01 1.2941985e+01
14 1.2327405e+00 1.2245394e+01 1.8586332e+01 1.5785718e+00 4.0493627e+00 1.2150096e+00 1.2117006e+01 1.4047982e+01
15 1.1614231e+00 1.2584356e+01 1.8182041e+01 1.3843559e+00 3.7827289e+00 1.2147071e+00 1.2632168e+01 1.5252981e+01
16 1.1054919e+00 1.3061916e+01 1.7794973e+01 1.5457289e+00 3.7628217e+00 1.1187773e+00 1.3062727e+01 1.6262979e+01
17 1.0579866e+00 1.3606779e+01 1.7506330e+01 1.3204867e+00 3.7391183e+00 1.0679981e+00 1.3488791e+01 1.7129978e+01
18 1.0086877e+00 1.4149735e+01 1.7331295e+01 1.1379292e+00 3.6429074e+00 1.0321580e+00 1.4143746e+01 1.8071977e+01
19 9.7632498e-01 1.4635365e+01 1.7363613e+01 1.2763420e+00 3.6388993e+00 9.9850929e-01 1.4589198e+01 1.8960972e+01
20 9.5716536e-01 1.5164826e+01 1.7259521e+01 1.2220173e+00 3.7159195e+00 9.8262906e-01 1.5053070e+01 1.9922971e+01
21 9.3981338e-01 1.5469802e+01 1.7218758e+01 1.2428988e+00 3.6842744e+00 9.6725333e-01 1.5411897e+01 2.1004973e+01
